id,score_date,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease
JMAN_9803968,2023-03-17,9.0,0.0,9.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9031290,2023-01-13,5.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9029087,2023-03-10,5.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2473827,2023-01-20,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9086153,2023-02-10,10.0,0.1,10.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9003408,2023-03-24,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9014366,2023-03-31,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2448264,2023-02-24,10.0,0.0,10.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9026918,2023-03-17,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2463786,2023-01-27,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2461549,2023-01-20,7.0,0.142857143,7.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2465336,2023-02-03,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_12472512,2023-02-10,5.0,0.0,4.0,5.0,0.0,0.0,1.0,0.8,1.0,0.0
JMAN_2469170,2023-03-17,5.0,0.4,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9037476,2023-02-03,10.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2464850,2023-03-10,1.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2457464,2023-03-31,9.0,0.0,9.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2447281,2023-02-03,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2457464,2023-01-27,9.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2450157,2023-01-13,3.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9027650,2023-01-13,10.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9041676,2023-03-17,5.0,0.0,5.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9014565,2023-03-31,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9036481,2023-02-24,5.0,0.4,5.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9028070,2023-03-24,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2476152,2023-03-31,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_18057083,2023-02-03,1.0,0.0,8.789672861828274,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_9035528,2023-02-03,4.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2453581,2023-03-03,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2473799,2023-03-31,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2468805,2023-03-03,3.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2474070,2023-01-20,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_11201598,2023-03-24,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2379983,2023-02-17,3.0,0.0,2.0,3.0,0.0,0.0,0.666666667,0.666666667,0.0,0.0
JMAN_2457132,2023-02-03,55.0,0.327272727,52.0,53.0,0.0,1.0,1.0,0.981132075,1.0,0.0
JMAN_18409956,2023-01-06,1.0,0.0,8.789672861828274,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_18149360,2023-01-20,2.0,0.0,8.789672861828274,2.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_18149360,2023-01-13,2.0,0.0,8.789672861828274,2.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_17630843,2023-03-24,1.0,0.0,8.789672861828274,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_9079368,2023-03-31,4.0,0.25,4.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0
