id,score_date,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr
JMAN_9021651,2023-03-10,168.0,168.0,0.0,0.0,0.0,0.0
JMAN_9022776,2023-03-24,1860.0,3001.32,1096.2,45.12,0.0,1096.2
JMAN_9242624,2023-02-03,26676.48,10591.926642995482,-27175.92,499.44,0.0,-27175.92
JMAN_2474033,2023-03-10,336.0,336.0,0.0,0.0,0.0,0.0
JMAN_9026440,2023-02-03,1480.56,1509.24,0.0,28.68,0.0,0.0
JMAN_9056184,2023-02-10,1800.0,300.0,-1500.0,0.0,-1500.0,0.0
JMAN_2482561,2023-02-10,64.92,66.24,0.0,1.32,0.0,0.0
JMAN_2456281,2023-02-17,1080.0,1080.0,0.0,0.0,0.0,0.0
JMAN_11249333,2023-03-24,2376.0,10591.926642995482,-2376.0,0.0,0.0,-2376.0
JMAN_9021732,2023-01-13,120.0,120.0,0.0,0.0,0.0,0.0
JMAN_9059722,2023-02-24,59400.0,59400.0,0.0,0.0,0.0,0.0
JMAN_2433825,2023-02-24,233.76,291.24,52.92,4.56,0.0,0.0
JMAN_18127929,2023-02-10,684.0,456.0,-228.0,0.0,-228.0,0.0
JMAN_18410388,2023-03-17,672.0,672.0,0.0,0.0,0.0,0.0
JMAN_2462717,2023-01-13,2952.0,2952.0,0.0,0.0,0.0,0.0
JMAN_2453359,2023-02-10,3480.0,3480.0,0.0,0.0,0.0,0.0
JMAN_10575478,2023-02-17,42792.0,47796.0,5004.0,0.0,4320.0,0.0
JMAN_9258120,2023-03-17,1308.0,1668.0,360.0,0.0,0.0,0.0
JMAN_2468303,2023-03-31,480.0,600.0,120.0,0.0,120.0,0.0
JMAN_9004478,2023-02-10,4182.0,4182.0,0.0,0.0,0.0,0.0
JMAN_18390982,2023-01-06,336.0,336.0,0.0,0.0,0.0,0.0
JMAN_9023149,2023-01-13,936.0,936.0,0.0,0.0,0.0,0.0
JMAN_15982019,2023-02-24,3300.0,1800.0,-1500.0,0.0,-1500.0,0.0
JMAN_2481177,2023-01-06,62042.4,62042.4,0.0,0.0,0.0,0.0
JMAN_9001356,2023-02-17,38232.0,44712.0,6480.0,0.0,0.0,0.0
JMAN_2470297,2023-02-03,120.0,120.0,0.0,0.0,0.0,0.0
JMAN_11604060,2023-02-24,1152.6,1203.6,0.0,51.0,0.0,0.0
JMAN_2390400,2023-02-10,1224.0,1224.0,0.0,0.0,0.0,0.0
JMAN_2464269,2023-01-13,4560.48,10591.926642995482,-4640.28,79.8,-1329.84,-2778.48
JMAN_9001380,2023-02-24,60.0,60.0,0.0,0.0,0.0,0.0
JMAN_9021651,2023-02-03,168.0,168.0,0.0,0.0,0.0,0.0
JMAN_2449317,2023-03-10,720.0,720.0,0.0,0.0,0.0,0.0
JMAN_2472373,2023-03-10,4956.0,5796.0,840.0,0.0,0.0,0.0
JMAN_2452751,2023-02-03,5472.0,5472.0,0.0,0.0,0.0,0.0
